number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_optimizer,state
0,0.8035033941268921,2024-08-27 02:42:25.805877,2024-08-27 02:48:10.644387,0 days 00:05:44.838510,relu,0.2380201241358625,9.071711466446352e-05,0.003513948771942775,dice_loss,Unet_deeper2,rmsprop,COMPLETE
1,0.9231669306755066,2024-08-27 02:48:10.645010,2024-08-27 03:03:34.858597,0 days 00:15:24.213587,relu,0.15288069531803333,0.005074861282405147,0.000581279310546315,dice_loss,Unet,adam,COMPLETE
2,3.6464345455169678,2024-08-27 03:03:34.859525,2024-08-27 03:20:09.902811,0 days 00:16:35.043286,leaky_relu,0.21529104049465866,0.0005877644837938279,0.0020035262875500947,binary_crossentropy,Unet_deeper2,sgd,COMPLETE
3,0.9231681227684021,2024-08-27 03:20:09.903367,2024-08-27 03:34:04.434718,0 days 00:13:54.531351,leaky_relu,0.10810130057186364,0.006207305766921957,0.002296204190416584,dice_loss,Unet_deeper,rmsprop,COMPLETE
4,121.0699691772461,2024-08-27 03:34:04.435286,2024-08-27 03:59:53.303632,0 days 00:25:48.868346,leaky_relu,0.13551902225469606,0.02802847614348207,0.0006295247270782222,dice_loss,Unet_wide,sgd,COMPLETE
5,0.9231659173965454,2024-08-27 03:59:53.304204,2024-08-27 04:03:22.075561,0 days 00:03:28.771357,leaky_relu,0.2438063993766027,0.0004959903031131721,0.07340292167645279,dice_loss,Unet_shallow,rmsprop,COMPLETE
6,44.57713317871094,2024-08-27 04:03:22.076092,2024-08-27 04:04:58.502403,0 days 00:01:36.426311,leaky_relu,0.11601688549202384,0.0007377178203862555,0.0063527888785499765,binary_crossentropy,Unet,adam,COMPLETE
7,4.173952102661133,2024-08-27 04:04:58.502836,2024-08-27 04:20:53.724852,0 days 00:15:55.222016,leaky_relu,0.10025682372103194,0.0005434201779385395,0.0004584353312891017,dice_loss,Unet_deeper2,sgd,COMPLETE
8,329.8203430175781,2024-08-27 04:20:53.725285,2024-08-27 04:36:12.465122,0 days 00:15:18.739837,relu,0.10357226014387379,0.0886882335595416,0.00030367050398452005,dice_loss,Unet_deeper2,sgd,COMPLETE
9,0.9828545451164246,2024-08-27 04:36:12.465658,2024-08-27 04:50:48.241863,0 days 00:14:35.776205,relu,0.10214994821102846,0.04669849683412906,0.00017627265967132735,dice_loss,Unet_deeper,adam,COMPLETE
